solver,benchmark_file,problem_type,num_vars,num_clauses,status,cpu_time,elapsed_time,wall_time,peak_memory,decisions,unit_propagations,pure_eliminations,conflicts,learned_clauses,flips,restarts,verified
dpll_baseline,benchmarks/random_sat/random_3sat_100v_426c_01.cnf,random_3sat,100,426,TIMEOUT,59.950267049000004,60.00060405499971,60.00060405499971,248687,,,,,,,,
dpll_jw,benchmarks/random_sat/random_3sat_100v_426c_01.cnf,random_3sat,100,426,UNSAT,4.780395331999998,4.783808626001701,4.783808626001701,207735,1384,15631,274,,,,,
cdcl,benchmarks/random_sat/random_3sat_100v_426c_01.cnf,random_3sat,100,426,TIMEOUT,59.94530594499999,60.00082295600441,60.00082295600441,249975,,,,,,,,
walksat,benchmarks/random_sat/random_3sat_100v_426c_01.cnf,random_3sat,100,426,UNKNOWN,6.153606371000009,6.15854623499763,6.15854623499763,68689,,,,,,10000,1,
probsat,benchmarks/random_sat/random_3sat_100v_426c_01.cnf,random_3sat,100,426,UNKNOWN,10.062568726999984,10.068054082999879,10.068054082999879,68665,,,,,,10000,1,
dpll_baseline,benchmarks/random_sat/random_3sat_100v_426c_02.cnf,random_3sat,100,426,SAT,1.7168568059999814,1.7177190110014635,1.7177190110014635,223347,776,6134,165,,,,,True
dpll_jw,benchmarks/random_sat/random_3sat_100v_426c_02.cnf,random_3sat,100,426,SAT,4.214301165999984,4.2166624199962826,4.2166624199962826,245155,1277,14321,192,,,,,True
cdcl,benchmarks/random_sat/random_3sat_100v_426c_02.cnf,random_3sat,100,426,TIMEOUT,59.950648667999985,60.00138813400554,60.00138813400554,321091,,,,,,,,
walksat,benchmarks/random_sat/random_3sat_100v_426c_02.cnf,random_3sat,100,426,SAT,0.39900535000001014,0.399111571998219,0.399111571998219,68275,,,,,,651,0,True
probsat,benchmarks/random_sat/random_3sat_100v_426c_02.cnf,random_3sat,100,426,SAT,4.775650912000003,4.7781836340000154,4.7781836340000154,68259,,,,,,4606,0,True
dpll_baseline,benchmarks/random_sat/random_3sat_100v_426c_03.cnf,random_3sat,100,426,SAT,34.268811785,34.29258559700247,34.29258559700247,261511,11607,125084,1823,,,,,True
dpll_jw,benchmarks/random_sat/random_3sat_100v_426c_03.cnf,random_3sat,100,426,SAT,0.24094438899999204,0.24117403000127524,0.24117403000127524,202615,63,832,11,,,,,True
cdcl,benchmarks/random_sat/random_3sat_100v_426c_03.cnf,random_3sat,100,426,TIMEOUT,59.92961949899998,60.00126530799753,60.00126530799753,225303,,,,,,,,
walksat,benchmarks/random_sat/random_3sat_100v_426c_03.cnf,random_3sat,100,426,SAT,0.4110065780000127,0.4114822570045362,0.4114822570045362,68713,,,,,,524,0,True
probsat,benchmarks/random_sat/random_3sat_100v_426c_03.cnf,random_3sat,100,426,SAT,3.4965313890000402,3.5039700330016785,3.5039700330016785,68697,,,,,,2921,0,True
dpll_baseline,benchmarks/random_sat/random_3sat_100v_426c_04.cnf,random_3sat,100,426,SAT,3.575168063000035,3.5763750190017163,3.5763750190017163,252935,1871,17092,541,,,,,True
